code_station,libelle_station,libelle_cours_eau,libelle_commune,code_departement,latitude,longitude,module_m3s,q25_m3s,qmna5_m3s,nb_annees
O522401001,L'Alzou à Villefranche-de-Rouergue [Barrage Cabal],L'Alzou,VILLEFRANCHE-DE-ROUERGUE,12,44.356798,2.049437,2.4852,0.239,0.034,83
O526000101,La Serène de Sanvensa à Lunac - station B - BORDERIES,La Serène de Sanvensa,LUNAC,12,44.253483,2.079147,0.3202,0.077,,4
O526000201,Le ruisseau de Marmont à Saint-Salvadou - station A - TALESPIES,Ruisseau de Marmont,SAINT-SALVADOU,12,44.285908,2.075939,0.1249,0.028,,4
O527000201,La Petite Serène à la Fouillade - PONT-NOIR,La Petite Serène,FOUILLADE,12,44.242214,2.084664,0.2901,0.048,0.007,5
O528431002,La Serène de Sanvensa à Saint-André-de-Najac [Canabral],La Serène de Sanvensa,SAINT-ANDRE-DE-NAJAC,12,44.209018,2.043585,1.1972,0.257,0.065,57
O528431101,Le ruisseau de Cassurex à la Fouillade - station D - TOULZANES,Ruisseau de Cassurex,FOUILLADE,12,44.204979,2.02461,0.0962,0.022,,2
O530000101,Le ruisseau des Pradines à Saint-Léons [Tourbière des Rauzes],Ruisseau des Pradines,SAINT-LEONS,12,44.248011,2.932635,,,,
O531291101,Le Viaur à Arques [Moulin Fabre],Le Viaur,ARQUES,12,44.305821,2.785724,,,,
O533000201,Le Vioulou à Curan [Moulin d'Aubignac],Le Vioulou,CURAN,12,44.195724,2.890473,,,,
O534000101,Le Vioulou à Salles-Curan [EDF - Trébons-Bas],Le Vioulou,SALLES-CURAN,12,44.21036,2.81309,1.0329,0.123,0.01,75
O536000101,Le Viaur à Flavin [Roualdesq],Le Viaur,FLAVIN,12,44.266145,2.651567,,,,
O538000101,Le ruisseau de la Nauze à Sainte-Juliette-sur-Viaur [Moncèze],Ruisseau de la Nauze,SAINTE-JULIETTE-SUR-VIAUR,12,44.235997,2.484415,,,,
O541401001,Le Céor à Cassagnes-Bégonhès,Le Céor,CASSAGNES-BEGONHES,12,44.1697,2.529643,,,,
